Time [min],Capstan speed [m/min],Preform feed rate [mm/min],Temperature [C],Tension [g],Preform Pressure [mBar],Diameter [mm],Diameter X [um],Diameter Y [um]
17.850362,13.550330,4.014972,200.255490,56.850510,1.043052,303.000000,302.000000,303.000000
17.863759,13.601329,4.009876,200.306490,53.026177,0.635144,302.000000,300.000000,303.000000
17.877069,13.779826,3.999684,200.153490,57.921323,0.839098,297.000000,301.000000,300.000000
17.890384,13.703328,4.014972,200.000490,53.944017,1.043052,300.000000,303.000000,304.000000
17.903679,13.703328,4.025164,200.204490,55.397264,1.043052,300.000000,304.000000,303.000000
17.917049,13.856325,3.999684,200.153490,56.926997,0.839098,298.000000,301.000000,300.000000
17.930433,13.805326,4.009876,200.357490,54.861857,0.941075,307.000000,306.000000,308.000000
17.943671,13.728827,4.025164,200.306490,54.632397,1.043052,300.000000,299.000000,301.000000
17.957037,13.728827,4.025164,200.153490,58.533217,0.839098,306.000000,300.000000,304.000000
17.970346,13.728827,4.020068,200.051490,53.714557,1.043052,300.000000,288.000000,295.000000
17.983689,13.881825,4.014972,199.847490,55.703210,1.043052,303.000000,299.000000,302.000000
17.997070,13.830826,4.025164,199.796490,56.697537,1.348983,308.000000,300.000000,305.000000
18.010368,13.983823,3.994588,199.796490,55.856184,0.737121,299.000000,294.000000,298.000000
18.023722,14.009323,4.020068,199.847490,52.643744,0.533167,301.000000,305.000000,306.000000
18.036988,13.932824,4.014972,200.000490,57.615377,0.737121,301.000000,299.000000,302.000000
18.050364,14.009323,4.020068,199.847490,54.861857,1.348983,298.000000,295.000000,297.000000
18.063760,14.060322,3.999684,199.745489,53.791044,1.043052,300.000000,296.000000,299.000000
18.077030,14.060322,4.009876,199.898490,55.779697,0.839098,298.000000,299.000000,299.000000
18.090382,14.060322,4.004780,199.949490,58.686190,1.145029,307.000000,301.000000,306.000000
18.103694,13.932824,4.025164,200.204490,52.490771,0.737121,299.000000,292.000000,296.000000
18.117008,14.009323,4.020068,200.000490,55.856184,0.533167,306.000000,306.000000,307.000000
18.130389,14.009323,3.999684,199.949490,56.926997,0.533167,303.000000,302.000000,304.000000
18.143703,13.932824,4.020068,199.898490,55.626724,0.941075,303.000000,304.000000,305.000000
18.157043,14.213319,4.009876,199.898490,52.873204,1.247006,307.000000,307.000000,309.000000
18.170339,14.136821,4.025164,200.000490,67.711615,0.737121,300.000000,300.000000,300.000000
18.183709,14.136821,4.025164,199.898490,56.774023,0.941075,298.000000,299.000000,300.000000
18.197102,14.289818,4.009876,199.898490,58.074297,0.635144,299.000000,298.000000,299.000000
18.210357,14.289818,4.009876,199.796490,54.861857,0.941075,299.000000,299.000000,300.000000
18.223688,14.315318,4.009876,199.898490,52.796717,0.839098,299.000000,296.000000,299.000000
18.237024,14.315318,4.009876,199.796490,57.921323,0.839098,301.000000,303.000000,305.000000
18.250367,14.289818,4.014972,200.102490,56.926997,0.941075,297.000000,299.000000,301.000000
18.263768,14.289818,4.009876,200.051490,57.768350,0.839098,306.000000,303.000000,305.000000
18.277035,14.366317,3.999684,200.051490,51.878878,0.635144,300.000000,304.000000,303.000000
18.290367,14.289818,4.014972,200.153490,55.932670,0.839098,302.000000,305.000000,305.000000
18.303696,14.289818,4.014972,199.949490,55.856184,1.043052,299.000000,290.000000,295.000000
18.317049,14.289818,4.025164,199.847490,58.762676,1.043052,302.000000,301.000000,303.000000
18.330440,14.315318,4.014972,200.153490,53.944017,0.941075,303.000000,301.000000,303.000000
18.343661,14.366317,3.999684,199.949490,54.020504,0.635144,307.000000,303.000000,305.000000
18.357013,14.213319,4.025164,200.204490,54.708884,1.348983,301.000000,299.000000,301.000000
18.370339,14.366317,4.009876,200.153490,56.774023,1.043052,305.000000,307.000000,308.000000
18.383692,14.391816,4.009876,199.949490,57.768350,0.839098,301.000000,301.000000,302.000000
18.397119,14.748811,3.999684,199.847490,57.997810,0.533167,302.000000,299.000000,302.000000
18.410354,14.697811,4.020068,200.051490,57.997810,0.431190,303.000000,303.000000,303.000000
18.423694,14.646812,4.025164,200.153490,54.632397,0.941075,303.000000,303.000000,303.000000
18.437018,14.748811,3.999684,199.949490,55.091317,0.737121,299.000000,298.000000,299.000000
18.450395,14.723311,3.999684,199.796490,52.031851,0.941075,300.000000,300.000000,300.000000
18.463779,14.723311,4.025164,199.796490,53.791044,1.043052,304.000000,300.000000,304.000000
18.477004,14.799810,4.004780,199.745489,53.714557,0.635144,292.000000,288.000000,289.000000
18.490357,14.825309,4.004780,199.592489,55.856184,1.145029,306.000000,309.000000,309.000000
18.503673,14.876308,3.999684,199.490489,56.162130,0.533167,299.000000,300.000000,300.000000
18.517039,14.723311,4.014972,199.694489,55.779697,0.635144,296.000000,296.000000,297.000000
18.530408,14.850809,3.999684,199.694489,58.150783,0.941075,300.000000,299.000000,301.000000
18.543727,14.825309,4.020068,199.796490,56.697537,1.043052,301.000000,301.000000,302.000000
18.557026,14.978307,4.009876,199.541489,59.833490,0.737121,299.000000,300.000000,301.000000
18.570382,14.876308,4.020068,199.745489,57.997810,0.839098,304.000000,298.000000,302.000000
18.583688,14.901808,4.014972,199.796490,58.992136,1.145029,306.000000,303.000000,306.000000
18.597109,14.901808,4.020068,199.796490,55.779697,0.839098,301.000000,290.000000,296.000000
18.610356,14.952807,4.009876,200.000490,57.079970,0.839098,305.000000,303.000000,304.000000
18.623721,15.080305,3.999684,199.949490,55.932670,0.635144,300.000000,298.000000,299.000000
18.637046,15.054806,3.994588,199.898490,54.020504,1.043052,304.000000,306.000000,306.000000
18.650356,14.952807,4.030260,200.102490,55.856184,1.348983,303.000000,304.000000,305.000000
18.663751,14.927308,4.030260,200.255490,56.697537,1.043052,296.000000,304.000000,301.000000
18.677030,15.233303,4.025164,200.408490,57.844837,1.043052,304.000000,306.000000,306.000000
18.690359,15.360801,3.999684,200.051490,57.003483,0.635144,304.000000,303.000000,305.000000
18.703734,15.258802,4.025164,200.459490,58.762676,1.043052,295.000000,299.000000,297.000000
18.717038,15.437299,4.004780,200.255490,58.074297,1.145029,305.000000,305.000000,305.000000
18.730406,15.386300,4.014972,200.306490,57.844837,1.145029,297.000000,296.000000,296.000000
18.743720,15.462799,3.999684,200.357490,58.303757,0.533167,301.000000,309.000000,306.000000
18.757007,15.386300,4.004780,200.153490,55.091317,0.839098,294.000000,298.000000,295.000000
18.770378,15.386300,4.014972,200.357490,55.932670,0.737121,303.000000,301.000000,303.000000
18.783699,15.615796,4.014972,200.306490,51.878878,1.043052,301.000000,300.000000,300.000000
18.797090,15.641296,4.004780,200.153490,54.096991,1.043052,298.000000,300.000000,299.000000
18.810346,15.590297,4.014972,200.357490,55.932670,0.635144,293.000000,293.000000,290.000000
18.823701,15.590297,4.014972,200.459490,58.992136,1.247006,302.000000,306.000000,308.000000
18.837039,15.666796,3.999684,200.357490,58.915650,0.533167,311.000000,303.000000,308.000000
18.850418,15.513798,4.025164,200.612491,56.697537,1.145029,291.000000,294.000000,293.000000
18.863764,15.666796,3.999684,200.459490,57.156457,0.839098,301.000000,302.000000,302.000000
18.877047,15.539298,4.025164,200.561491,53.791044,1.043052,302.000000,312.000000,303.000000
18.893706,15.692295,4.004780,200.510491,52.643744,1.247006,301.000000,296.000000,299.000000
18.907050,15.692295,4.030260,200.459490,56.621050,1.043052,309.000000,301.000000,306.000000
18.920375,15.692295,4.009876,200.357490,58.227270,0.941075,303.000000,302.000000,304.000000
18.933719,15.768794,3.994588,200.255490,58.992136,0.839098,302.000000,293.000000,298.000000
18.947092,15.794293,4.004780,200.204490,55.932670,1.145029,304.000000,295.000000,300.000000
18.960385,15.692295,4.030260,200.255490,54.938344,1.043052,303.000000,302.000000,305.000000
18.973732,15.794293,4.009876,200.255490,54.708884,0.737121,301.000000,301.000000,302.000000
18.987017,15.845293,4.004780,200.204490,55.779697,0.941075,301.000000,302.000000,302.000000
19.000392,15.794293,4.020068,200.510491,58.609703,1.247006,300.000000,301.000000,301.000000
19.013751,15.819793,4.004780,200.306490,55.932670,0.941075,301.000000,301.000000,302.000000
19.027076,15.947291,3.999684,200.204490,54.020504,0.533167,300.000000,300.000000,299.000000
19.040385,15.947291,4.014972,200.357490,54.938344,1.043052,307.000000,306.000000,310.000000
19.053705,16.074789,4.009876,200.357490,57.921323,1.043052,303.000000,308.000000,309.000000
