Time [min],Capstan speed [m/min],Preform feed rate [mm/min],Temperature [C],Tension [g],Preform Pressure [mBar],Diameter [mm],Diameter X [um],Diameter Y [um]
19.147215,16.227786,4.014972,200.255490,55.856184,0.635144,305.000000,309.000000,308.000000
19.160396,16.278786,4.020068,200.204490,57.844837,0.941075,298.000000,298.000000,299.000000
19.173710,16.304285,4.009876,200.357490,55.856184,1.145029,301.000000,299.000000,301.000000
19.187045,16.304285,4.009876,200.153490,53.714557,1.247006,298.000000,298.000000,299.000000
19.200387,16.406283,4.020068,200.204490,59.986463,1.043052,297.000000,298.000000,298.000000
19.213786,16.431783,4.014972,200.102490,53.714557,1.043052,300.000000,298.000000,299.000000
19.227053,16.278786,4.014972,200.204490,65.111069,0.635144,299.000000,299.000000,300.000000
19.240377,16.355284,4.014972,200.357490,59.986463,0.635144,300.000000,299.000000,300.000000
19.253687,16.355284,3.994588,200.306490,56.009157,0.635144,299.000000,298.000000,299.000000
19.267043,16.278786,4.025164,200.408490,53.638071,1.145029,302.000000,302.000000,302.000000
19.280468,16.253286,4.014972,200.510491,57.615377,1.348983,298.000000,299.000000,299.000000
19.293702,16.253286,4.025164,200.561491,57.691863,1.043052,299.000000,299.000000,300.000000
19.307021,16.304285,4.009876,200.459490,54.938344,1.043052,300.000000,300.000000,301.000000
19.320377,16.278786,4.004780,200.357490,56.085644,1.450960,301.000000,299.000000,301.000000
19.333675,16.304285,4.014972,200.408490,60.062950,0.737121,307.000000,305.000000,307.000000
19.347097,16.227786,4.025164,200.204490,54.861857,1.145029,304.000000,303.000000,304.000000
19.360381,16.227786,4.020068,200.255490,55.703210,1.043052,304.000000,304.000000,305.000000
19.373715,16.431783,4.014972,200.051490,59.833490,1.043052,305.000000,301.000000,303.000000
19.387046,16.304285,4.009876,200.204490,52.796717,1.145029,294.000000,281.000000,288.000000
19.400392,16.559281,3.994588,199.745489,57.921323,0.839098,303.000000,305.000000,304.000000
19.413813,16.431783,4.020068,200.000490,57.691863,1.348983,302.000000,304.000000,303.000000
19.427021,16.431783,4.025164,199.898490,51.802391,1.247006,300.000000,300.000000,301.000000
19.440369,16.457283,3.999684,199.694489,59.145110,0.839098,303.000000,302.000000,303.000000
19.453716,16.508282,4.009876,199.796490,54.785370,1.043052,302.000000,301.000000,302.000000
19.467056,16.584781,4.009876,199.694489,54.785370,0.839098,299.000000,299.000000,300.000000
19.480427,16.610280,4.009876,199.592489,57.997810,0.533167,298.000000,298.000000,298.000000
19.495377,16.661279,4.004780,199.592489,57.079970,1.043052,296.000000,296.000000,297.000000
19.508768,16.712278,4.025164,199.745489,55.626724,1.145029,301.000000,300.000000,301.000000
19.522135,16.763278,3.994588,199.592489,56.926997,0.839098,288.000000,292.000000,290.000000
