Time,Capstan speed,Preform feed rate,Temperature,Tension,Preform Pressure,Diameter,Diameter X,Diameter Y
[min],[m/min],[mm/min],[ºC],[g],[mBar],[mm],[um],[um]
12.573666,9.852891,3.999684,199.694489,54.020504,-0.078695,301.000000,301.000000,300.000000
12.586874,9.878390,4.004780,199.796490,52.184824,0.125259,302.000000,302.000000,302.000000
12.600214,9.776392,4.014972,200.000490,54.020504,0.125259,302.000000,302.000000,303.000000
12.613622,9.699893,4.030260,200.102490,50.961038,0.023282,300.000000,300.000000,301.000000
12.626908,9.954889,3.999684,199.898490,54.020504,-0.180672,300.000000,299.000000,300.000000
12.640207,9.852891,4.009876,200.153490,54.785370,0.023282,300.000000,300.000000,301.000000
12.653566,9.903890,4.014972,200.051490,54.861857,0.125259,296.000000,296.000000,297.000000
12.666910,10.005888,4.014972,200.000490,54.785370,0.227236,297.000000,298.000000,298.000000
12.680298,10.031388,4.009876,200.051490,53.638071,0.227236,293.000000,301.000000,297.000000
12.693558,10.082387,3.999684,200.051490,53.944017,0.125259,297.000000,309.000000,302.000000
12.706915,9.929389,3.999684,200.000490,53.102664,-0.180672,299.000000,298.000000,299.000000
12.720191,9.827391,4.030260,200.204490,52.643744,0.227236,300.000000,302.000000,302.000000
12.733566,9.776392,4.014972,200.000490,54.938344,0.227236,301.000000,296.000000,298.000000
12.746964,9.852891,4.004780,199.898490,51.802391,0.023282,299.000000,301.000000,300.000000
12.760248,9.827391,4.014972,200.102490,54.861857,-0.180672,301.000000,301.000000,300.000000
12.773545,9.776392,3.999684,199.949490,52.031851,-0.180672,301.000000,299.000000,299.000000
12.786875,9.699893,4.014972,200.153490,53.714557,0.227236,300.000000,292.000000,297.000000
12.800237,9.750892,3.999684,200.102490,53.867531,0.125259,293.000000,297.000000,294.000000
12.813631,9.648894,4.025164,200.510491,51.725904,0.227236,301.000000,304.000000,304.000000
12.826891,9.725393,4.009876,200.408490,55.014830,0.125259,303.000000,306.000000,306.000000
12.840221,9.495896,4.020068,200.357490,53.867531,0.227236,299.000000,298.000000,299.000000
12.853542,9.648894,4.004780,200.102490,55.167804,-0.078695,295.000000,298.000000,297.000000
12.866881,9.801891,3.994588,199.898490,51.955364,-0.180672,306.000000,300.000000,304.000000
12.880275,9.623394,4.025164,200.204490,53.867531,0.023282,305.000000,306.000000,306.000000
12.893563,9.699893,4.025164,200.051490,51.878878,-0.282649,304.000000,302.000000,305.000000
12.906910,9.546896,4.025164,200.204490,53.867531,-0.078695,299.000000,300.000000,302.000000
12.920235,9.648894,4.004780,199.949490,52.108338,-0.180672,300.000000,299.000000,301.000000
12.933585,9.521396,4.025164,200.000490,51.802391,0.227236,301.000000,299.000000,302.000000
12.946969,9.674393,4.014972,200.051490,55.014830,-0.180672,302.000000,300.000000,303.000000
12.960229,9.648894,4.025164,200.204490,50.808064,0.023282,301.000000,300.000000,301.000000
12.973545,9.725393,4.025164,200.051490,55.856184,0.329213,296.000000,300.000000,300.000000
12.986911,9.852891,4.004780,199.796490,53.179151,-0.180672,300.000000,300.000000,302.000000
13.000192,9.750892,4.025164,200.051490,51.802391,0.125259,299.000000,298.000000,299.000000
13.013587,9.776392,4.004780,199.949490,54.708884,0.023282,298.000000,298.000000,298.000000
13.026900,9.827391,3.999684,199.949490,53.102664,-0.078695,297.000000,298.000000,298.000000
13.040212,9.750892,4.004780,199.694489,55.167804,-0.180672,300.000000,298.000000,300.000000
13.053547,9.750892,3.999684,199.745489,52.031851,0.023282,296.000000,298.000000,297.000000
13.066872,9.776392,3.999684,199.745489,54.096991,0.023282,301.000000,299.000000,300.000000
13.080301,9.699893,4.009876,199.796490,51.802391,0.125259,299.000000,300.000000,300.000000
13.093595,9.725393,4.020068,199.847490,54.861857,0.023282,296.000000,296.000000,295.000000
13.106893,9.623394,4.030260,199.949490,54.938344,0.125259,296.000000,297.000000,295.000000
13.120215,9.419398,4.025164,199.949490,53.638071,0.329213,296.000000,296.000000,296.000000
13.133567,9.495896,4.009876,199.847490,51.802391,0.023282,296.000000,297.000000,295.000000
13.146950,9.521396,4.009876,200.000490,51.878878,0.023282,299.000000,300.000000,297.000000
13.160225,9.444897,4.020068,200.204490,52.873204,0.023282,302.000000,299.000000,299.000000
13.173569,9.495896,4.009876,199.949490,52.873204,0.125259,297.000000,297.000000,296.000000
13.186872,9.470397,4.004780,199.949490,51.114011,0.023282,306.000000,304.000000,303.000000
13.200243,9.317399,4.020068,200.102490,56.774023,0.431190,291.000000,291.000000,290.000000
13.213632,9.368398,4.004780,199.796490,57.997810,-0.078695,298.000000,299.000000,297.000000
13.226890,9.317399,4.009876,199.949490,53.944017,-0.282649,301.000000,302.000000,300.000000
13.240247,9.317399,4.009876,199.949490,51.802391,0.023282,302.000000,305.000000,302.000000
13.253572,9.189901,4.020068,200.000490,53.867531,0.125259,302.000000,302.000000,302.000000
13.266909,9.240901,3.994588,199.898490,52.184824,-0.180672,302.000000,302.000000,301.000000
