Time [min],Capstan speed [m/min],Preform feed rate [mm/min],Temperature [C],Tension [g],Preform Pressure [mBar],Diameter [mm],Diameter X [um],Diameter Y [um]
20.175381,16.992774,4.009876,199.745489,56.926997,1.450960,302.000000,303.000000,302.000000
20.188721,17.043773,3.999684,199.643489,57.156457,0.635144,302.000000,300.000000,303.000000
20.202034,16.992774,3.999684,199.745489,54.020504,0.839098,302.000000,301.000000,303.000000
20.215341,16.941775,4.025164,199.898490,60.674843,1.043052,304.000000,302.000000,303.000000
20.228715,17.196771,4.009876,199.796490,53.944017,1.450960,299.000000,301.000000,300.000000
20.241996,17.171271,4.009876,199.592489,59.068623,0.839098,289.000000,300.000000,292.000000
20.255409,17.171271,4.004780,199.745489,56.850510,1.348983,309.000000,303.000000,308.000000
20.268714,17.349768,3.994588,199.694489,57.003483,0.839098,303.000000,302.000000,304.000000
20.282034,17.375268,3.999684,199.694489,57.003483,0.635144,301.000000,300.000000,300.000000
20.295380,17.273269,4.009876,199.847490,56.009157,1.247006,300.000000,294.000000,297.000000
20.308691,17.375268,4.020068,199.796490,56.774023,0.635144,300.000000,300.000000,301.000000
20.322072,17.324268,4.020068,199.745489,53.485097,0.941075,301.000000,300.000000,301.000000
20.335321,17.324268,4.025164,199.592489,58.839163,1.043052,302.000000,301.000000,302.000000
20.348675,17.349768,4.025164,199.643489,55.550237,1.247006,301.000000,300.000000,300.000000
20.362028,17.426267,4.009876,199.439489,55.856184,0.737121,301.000000,302.000000,303.000000
20.375385,17.451766,4.025164,199.643489,58.762676,0.839098,299.000000,299.000000,300.000000
20.388774,17.451766,4.030260,199.694489,51.802391,0.941075,302.000000,301.000000,302.000000
20.402043,17.553765,3.999684,199.541489,58.150783,0.839098,304.000000,303.000000,304.000000
20.415369,17.451766,4.025164,199.643489,57.844837,1.145029,303.000000,301.000000,302.000000
20.428681,17.553765,3.994588,199.490489,52.873204,0.737121,301.000000,295.000000,297.000000
20.442015,17.655763,4.030260,199.694489,59.604030,0.737121,301.000000,305.000000,304.000000
20.455392,17.630263,4.025164,199.592489,57.921323,1.145029,299.000000,300.000000,300.000000
20.468707,17.757761,4.020068,199.694489,53.867531,1.043052,289.000000,290.000000,288.000000
20.482051,17.783261,4.009876,199.337489,57.768350,1.145029,303.000000,305.000000,306.000000
20.495396,17.859760,3.999684,199.388489,58.074297,0.839098,297.000000,295.000000,297.000000
20.508718,17.783261,4.009876,199.439489,52.873204,1.348983,294.000000,294.000000,295.000000
20.522087,17.859760,3.999684,199.490489,55.932670,1.145029,301.000000,300.000000,301.000000
20.535356,17.783261,4.025164,199.337489,57.691863,1.756891,299.000000,300.000000,300.000000
20.548694,17.553765,4.020068,199.286489,53.944017,1.756891,301.000000,300.000000,301.000000
20.562007,17.655763,3.999684,199.082488,59.145110,1.756891,300.000000,299.000000,300.000000
20.575416,17.502766,4.025164,199.082488,56.774023,1.858868,290.000000,299.000000,293.000000
20.588762,17.579264,4.014972,199.133489,52.184824,1.043052,308.000000,308.000000,310.000000
20.602023,17.579264,4.014972,199.337489,57.691863,2.164799,307.000000,305.000000,306.000000
20.615361,17.655763,4.014972,199.133489,57.921323,1.756891,301.000000,299.000000,301.000000
20.628691,17.630263,4.004780,199.235489,54.096991,1.450960,307.000000,305.000000,307.000000
20.642071,18.063756,3.994588,199.184489,55.091317,1.348983,305.000000,308.000000,307.000000
20.655391,17.987258,4.014972,199.286489,55.856184,2.164799,301.000000,301.000000,301.000000
20.668704,17.936258,4.025164,199.337489,60.598356,1.756891,301.000000,300.000000,301.000000
20.682047,18.191254,4.014972,199.337489,56.774023,2.062822,302.000000,300.000000,302.000000
20.695356,18.191254,4.014972,199.235489,51.802391,2.164799,291.000000,292.000000,290.000000
20.708680,18.165755,4.014972,199.337489,54.020504,1.858868,306.000000,307.000000,309.000000
20.722090,18.191254,4.009876,199.337489,57.003483,2.062822,304.000000,303.000000,305.000000
20.735399,18.242253,3.999684,199.337489,58.074297,1.858868,290.000000,303.000000,294.000000
20.748691,18.216754,4.025164,199.592489,57.844837,1.858868,310.000000,303.000000,308.000000
20.762027,18.344252,4.004780,199.286489,57.997810,1.858868,302.000000,302.000000,304.000000
20.775375,18.344252,4.009876,199.490489,54.020504,2.062822,308.000000,311.000000,310.000000
20.788755,18.344252,4.025164,199.592489,52.720231,1.858868,299.000000,299.000000,299.000000
20.802022,18.344252,4.020068,199.541489,53.638071,2.164799,307.000000,308.000000,309.000000
20.815358,18.777745,4.009876,199.541489,54.938344,2.062822,310.000000,304.000000,308.000000
20.828723,18.803244,4.020068,199.490489,52.949691,2.164799,301.000000,309.000000,307.000000
20.842031,18.726746,4.025164,199.643489,53.714557,1.960845,299.000000,299.000000,296.000000
20.855447,19.032741,3.999684,199.439489,53.944017,1.858868,309.000000,313.000000,312.000000
20.868694,18.981741,4.014972,199.592489,52.873204,1.858868,303.000000,303.000000,303.000000
20.882039,18.956242,4.025164,199.796490,53.714557,2.164799,298.000000,300.000000,298.000000
20.895379,19.287736,4.004780,199.490489,57.079970,2.164799,305.000000,308.000000,306.000000
20.908703,19.160238,4.025164,199.694489,57.844837,2.266777,303.000000,302.000000,302.000000
20.922096,19.466233,4.025164,199.592489,57.921323,2.266777,299.000000,293.000000,295.000000
20.935362,19.517233,4.004780,199.592489,56.850510,2.062822,303.000000,312.000000,308.000000
20.948720,19.542732,4.009876,199.694489,56.162130,1.858868,305.000000,304.000000,305.000000
20.962024,19.695730,4.014972,199.796490,53.867531,2.572708,299.000000,300.000000,298.000000
20.975358,19.695730,3.999684,199.949490,56.926997,1.756891,303.000000,304.000000,304.000000
20.988740,19.874227,4.009876,200.051490,57.844837,2.266777,302.000000,303.000000,303.000000
21.002038,19.899726,4.009876,200.000490,55.779697,1.858868,303.000000,301.000000,303.000000
21.015386,19.823228,4.020068,200.204490,57.003483,1.858868,307.000000,306.000000,307.000000
21.028705,20.231221,3.999684,199.796490,57.156457,1.960845,305.000000,303.000000,304.000000
21.042052,20.205721,4.009876,199.796490,53.944017,2.266777,301.000000,302.000000,301.000000
21.055421,20.129223,4.030260,199.745489,58.915650,2.164799,302.000000,301.000000,302.000000
21.068697,20.562716,3.999684,199.592489,54.096991,1.654914,302.000000,301.000000,302.000000
21.082050,20.486217,3.999684,199.592489,57.003483,1.552937,299.000000,300.000000,299.000000
